id,created_at,text
950122950828544000,2018-01-07 21:52:18,RT @SpaceX: Weather is 80% favorable for today’s two-hour launch window which opens at 8 PM EST. https://t.co/qcFz9Q25j6
949805657682661376,2018-01-07 00:51:29,RT @satishd: wow - amazing play by Marcus Mariota to win that game and his teammates love him for his hustle! They deserved to win just for…
949793481601380352,2018-01-07 00:03:06,RT @WorldAndScience: Model to show how earthquake dampeners work on building structures https://t.co/ICLGNW0Qx0
949758450929516544,2018-01-06 21:43:55,RT @PriscoCBS: Nope https://t.co/fwOWKgcerq
949741229989744640,2018-01-06 20:35:29,RT @SpaceX: Team at the Cape completed additional propellant loading tests today. Extreme weather slowed operations but Falcon 9 and the Zu…
949352999855378432,2018-01-05 18:52:47,RT @kimbal: At some point Amazon just runs out of things to do door to door. 😂😂😂 https://t.co/bbjRx4obVp
949119929030082562,2018-01-05 03:26:39,Beats crypto any day :) https://t.co/AdjhVOKD25
948950908238364673,2018-01-04 16:15:01,Time for @civickey @VinnyLingham https://t.co/KdUYts7deg
948871220094578690,2018-01-04 10:58:22,RT @rstephens: USGS survey completed https://t.co/PodraevxmR
948868411135705088,2018-01-04 10:47:12,RT @sundeep: Woah that was a big earthquake!
948743079321681922,2018-01-04 02:29:11,RT @TheOnion: Report: No One Currently Thinking About You https://t.co/hfsvHfFNsH https://t.co/uhRDNMmFyr
948705524131840000,2018-01-03 23:59:57,RT @jonmcneill: Congrats to a great team on a record quarter! https://t.co/1LFgZGbNvG
948701482479570944,2018-01-03 23:43:54,Well it certainly has been fun. https://t.co/glnAcf4HyH
948370315293335552,2018-01-03 01:47:57,"RT @phil_hellmuth: Breakdown!  My BMW Alpina Just stopped, completely dead, on super busy El Camino Real #TripleAAAHere #CarsWhizzingBy #Ti…"
948281355225321472,2018-01-02 19:54:27,RT @kyletorpey: Egypt's Religious Leader: Crypto Trading Forbidden Under Islamic Law https://t.co/OCMCANpiDd via @CoinDesk
948278945824219136,2018-01-02 19:44:53,RT @sundeep: #Au 2018 let's go!
948229742301405185,2018-01-02 16:29:22,this is the BEST writeup i've read on crypto in 2018 :) https://t.co/axgpUPTMoB
948029646456610822,2018-01-02 03:14:15,RT @abc7kristensze: #supermoon over #sf right now. Take a peek. https://t.co/HrDcpb7X52
947921649105453056,2018-01-01 20:05:07,"RT @NASA: A supermoon is coming! Tonight, the full Moon will be at or near its closest point in its orbit around Earth, making it a supermo…"
947349578222747648,2017-12-31 06:11:55,RT @VinnyLingham: Ripple on sale!! https://t.co/LTTx90DmdI
947175688783650816,2017-12-30 18:40:56,@SneakerNews Not sure I get these for $18k
947158394602848256,2017-12-30 17:32:13,RT @_Kevin_Pham: Pumping alts is fun and games until you accidentally pump a corpcoin past Bitcoin and destroy Bitcoin's network effect whi…
946952652050411520,2017-12-30 03:54:40,RT @pud: i deserve an award for this photo and also for the food styling thx https://t.co/Y76RSF2Xss
946831713652563968,2017-12-29 19:54:06,congrats.  you guys were early. https://t.co/frwG8ixE0t
946820383298043904,2017-12-29 19:09:05,the BEST piece i've read in 2017 on crypto.  great analysis. https://t.co/PRYkG7qxhC
946740768764395521,2017-12-29 13:52:43,It is not too late - we are in the first/second inning. https://t.co/PSOKrbQ1gn
946565827267985409,2017-12-29 02:17:34,@RealKidPoker Sobering
946485151344730112,2017-12-28 20:56:59,.@PhilzCoffee + @Postmates = heaven
946449222152339456,2017-12-28 18:34:13,RT @julia_bergeron: It is real! Look at that @SpaceX  #FalconHeavy 🚀 View from Playalinda National Seashore vista. @NASASpaceflight @loreng…
946154818183106560,2017-12-27 23:04:22,This is cool https://t.co/mMDCVM6lCO
946136730037469185,2017-12-27 21:52:29,"RT @VinnyLingham: Don’t forget to download the latest iOS update to the @civickey app, which sets the groundwork for some exciting new feat…"
946110097549172736,2017-12-27 20:06:39,"alas, i spent all morning on crypto kitties."
945877394254020609,2017-12-27 04:41:58,RT @peterpham: Love it when @jeffersongraham from @USATODAY visits my home to go over my favorite gadgets of 2017. I clearly have an addict…
945770956819111936,2017-12-26 21:39:02,"RT @Cloud9: On the second day of Christmas the esports gods gave to me 
One baller CEO and the top international placing #NALCS team.
Make…"
945739505650188288,2017-12-26 19:34:03,the future is just around the corner -- here's to 2018! https://t.co/duMDmkZ2aV
945723901878853635,2017-12-26 18:32:03,Boo :( https://t.co/PTpFFgSDvp
945300131821187074,2017-12-25 14:28:08,Merry Xmas world!!!
945127871848132608,2017-12-25 03:03:38,RT @Learn_Things: This is what happens when a camera's frame rate is in sync with a helicopter's rotors. Creepy 🚁👻 https://t.co/R0e2Tmnctm
945125054710288384,2017-12-25 02:52:27,RT @qz: This is what happened to the scientist who stuck his head inside a particle accelerator https://t.co/mctFCWtrs6
944994085017862144,2017-12-24 18:12:01,RT @CHP_GoldenGate: #IfSantaWereReal we would have investigated why grandma got ran over by a rain deer...  Please #dontdrinkanddrive https…
944685915061886976,2017-12-23 21:47:28,@PompeyOnSixers Xmas!!!
944600298118455296,2017-12-23 16:07:15,"RT @elonmusk: If you liked tonight’s launch, you will really like Falcon Heavy next month: 3 rocket cores &amp; 3X thrust. 2 cores return to ba…"
944413049179447297,2017-12-23 03:43:11,RT @kimbal: Unbelievable shot from a friend of mine of the @spacex launch from Newport Beach. This SpaceX rocket the Iridium constellation…
944412951963779073,2017-12-23 03:42:48,RT @phil_hellmuth: Happy Holidays from Las Vegas #MyFirstVegasChristmas https://t.co/OQZTROPNBM
944412918652715008,2017-12-23 03:42:40,RT @SpaceX: Successful deployment of 10 @IridiumComm NEXT satellites to low-Earth orbit confirmed. https://t.co/CTtvPYNgMA
944384729314312193,2017-12-23 01:50:39,RT @hbecerraLATimes: Beginning of that strange light show over L.A. @latimes https://t.co/brQBAK3HaQ
944331748250304512,2017-12-22 22:20:08,RT @SpaceX: A Red Car for the Red Planet https://t.co/PakS3rvp5C https://t.co/440bvUHJeO
944321946828791808,2017-12-22 21:41:11,RT @SpaceX: Falcon 9’s first stage booster for this mission previously launched 10 satellites to low-Earth orbit for Iridium in June of thi…
