day,epu_idx,price,volume,bidask,tpm,trans,exp_sem
12/12/2013,110.87,16.2907544,13637549.73,-0.17058385,2.52621528,1896,0.243276923
12/13/2013,127.96,-13.4119963,-25699479.7,0.208079702,-6.653125002,-6058,0.275757143
12/14/2013,105.51,-27.2394129,16558320.01,-0.03694972,3.028645833,-1749,-0.5849
12/15/2013,96.72,-46.342331,82477972.64,-2.413865454,11.48993056,17074,0.1444375
12/16/2013,100.86,-103.5745874,-26052302.91,0.255877072,0.18350694,-1642,0.33762
12/17/2013,99.02,-129.5812146,119123001.5,0.230684618,16.42951389,13770,0.01421
12/18/2013,97.71,55.7816798,-109464702.3,-0.281166014,-1.52378472,-11232,0.0086
12/19/2013,152.19,55.2491661,-23491622.19,-0.078773297,-9.15746528,-5195,0.038666667
12/20/2013,52.07,-60.0472362,-45132050.1,0.180534608,-3.98177083,-9000,0.158514286
12/21/2013,64.44,10.9927434,-1739126.28,-0.208724704,-4.95243056,-3186,0.02255
12/22/2013,158.54,11.7892376,-6456337.56,-0.062233197,-3.3703125,1370,0.253866667
12/23/2013,75.16,19.0693765,-4613650.41,-0.356147056,-4.468402777,1598,-0.024833333
12/24/2013,29.66,4.0738552,-10744790.08,0.049943087,-2.148958333,-437,0.028425
12/25/2013,50.02,56.254911,48614287.87,0.068226062,9.70225694,-4152,0.418175
12/26/2013,33.17,18.5444224,-16890784.27,-0.074949696,-4.17663194,1398,0.11175
12/27/2013,71.17,-8.7146519,-10158133.43,0.000579354,-1.50597222,-4665,0.2167
12/28/2013,70.37,-8.477795,-14147673.02,-0.145539415,-3.327638891,3316,0.26805
12/29/2013,121.37,22.6611105,1377139.22,0.04285703,-0.630972222,4288,-0.2667
12/30/2013,86.24,-4.0169375,1482381.15,0.022407407,-0.453611111,-6766,0.052733333
12/31/2013,130.03,15.474286,-1647334.16,0.006645008,-0.643194445,-5777,0.305681818
1/1/2014,173.05,14.6827222,17647665.43,-0.16246041,5.118888889,11700,0
1/2/2014,103.08,36.5669054,-66147.25,0.015119349,0.04888889,6210,0.06545
1/3/2014,113.11,18.5638762,-3250443.8,0.052658473,-3.054444446,-8928,-0.2057
1/4/2014,77.86,57.798748,39556739.37,-0.039909493,5.831944446,6610,0.326533333
1/5/2014,144.91,68.174735,18473024.57,0.09334553,7.13263889,8696,0.137766667
1/6/2014,121.14,-53.7547645,3651021.94,0.12618953,0.54083333,-4447,0.054633333
1/7/2014,93.88,-66.3549487,-25194800.09,-0.058629627,-5.37013889,-1472,0.159175
1/8/2014,106.42,6.9078856,-11752458.83,0.015534953,-1.59444444,-2408,0.36932
1/9/2014,60.31,0.4983535,-29861649.65,-0.137002102,-5.338888891,-4865,0.0238
1/10/2014,67.96,53.2558589,13491262.31,0.124439692,1.141666671,1690,0.033785714
1/11/2014,63.29,-12.3161623,-3667055.22,-0.101527791,0.18458333,-5319,0.2277125
1/12/2014,130.09,-43.3851633,5654629.61,-0.006070959,1.23763889,2924,0
1/13/2014,100.01,5.0958681,-27067008.7,0.034049365,-5.013055558,3917,-0.001955556
1/14/2014,57.03,11.9721296,8388189.54,0.010802479,0.278333334,4234,0.464625
1/15/2014,67.7,-2.731162,-10226635.37,-0.085679096,-1.230833334,-4909,0.0975
1/16/2014,80.94,-30.5987657,21594935.1,0.196503565,3.149027778,2323,0.216975
1/17/2014,66.52,6.2254959,-23382440.26,-0.128824831,-4.061805556,-7453,0.031853846
1/18/2014,36.74,8.4180219,7544992.46,0.033517408,0.324444445,-3568,-0.065225
1/19/2014,54.61,16.853962,2432159.22,-0.105224807,0.769166667,14998,0.2264
1/20/2014,118.21,-5.2220043,-9502936.95,0.010651955,-1.578888889,9574,0.18528
1/21/2014,93.53,-4.1159749,90153.28,-0.036258231,-0.634166667,-6742,0.376811111
1/22/2014,141.56,-5.9104782,-2608197.39,-0.01332301,-0.155277778,-2259,-0.07716
1/23/2014,92.85,-24.8821126,21630551.21,0.09540626,4.863611111,2024,0.24488
1/24/2014,84.12,11.2728029,-12768449.7,0.12675557,-3.163472222,-11736,-0.05405
1/25/2014,70.48,16.3220247,9845752.74,-0.096031521,1.074166667,-282,0.061658333
